author_id,name
304,Harry Shearer
305,Iain Sinclair
306,Christopher P. Baker
307,John Updike
308,M. Thomas Inge
309,Stanley Wiater
310,Peter Straub
311,Edward de Bono
312,Kate McMullan
313,Bram Stoker
314,Rudyard Kipling
315,Victor Gorelick
316,John L. Goldwater
317,Henry Scarpelli
318,Craig Boldman
319,Paul Castiglia
320,Michael Reynolds
321,Adam Sexton
322,Steve Martin
323,Jodi Picoult
324,Ron Smith
325,Tom Raney
326,Rick Leonardi
327,Mike Dringenberg
328,Henrik Drescher
329,Carlos Pacheco
330,Kurt Busiek
331,Francis Ford Coppola
332,Harlan Ellison
333,Anthony Minghella
334,Anne Rice
335,Kelley Armstrong
336,Benoit Peeters
337,Ann Major
338,Christie Golden
339,David Mamet
340,Doris Lessing
341,Anne Allison
342,Thomas Bernhard
343,Connie Roop
344,Arthur C. Clarke
345,Nathaniel Hawthorne
346,Charles Newton
347,P.G. Wodehouse
348,Mike Henry
349,Michael Morpurgo
350,Clive Gifford
351,Barry Gifford
352,Bob     Smith
353,Lewis Carroll
354,Michael Ledwidge
355,Phil Hester
356,Kevin Smith
357,Paul Crilley
358,Hirohiko Araki
359,Ben Avery
360,Mike S. Miller
361,Kyoko Hikawa
362,CLAMP
363,Yumi Hotta
364,Junji Ito
365,Yuji Oniki
366,Robert Sheckley
367,Jin Kobayashi
368,Eiji Nonaka
369,Akihiro Yamada
370,Alexander O. Smith
371,Fuyumi Ono
372,Hiroyuki Morioka
373,Aya Yoshinaga
374,Chie Shinohara
375,Yuji Shiozaki
376,Yayoi Ogawa
377,Carol Fox
378,Mizuki Hakase
379,Raymond E. Feist
380,Tamora Pierce
381,Brett Booth
382,Walter B. Gibson
383,Dana Meachen Rau
384,Hwan Shin
385,Jong-Kyu Lee
386,Jong Kyu-Lee
387,Peter Sis
388,Mercedes Lackey
389,Tanith Lee
390,Richard Matheson
391,Naomi Novik
392,Be-Papas
393,Kaori Naruse
394,Tomo Matsumoto
395,Christopher Jones
396,Eiki Eiki
397,Chester Gould
398,Susanna Clarke
399,Bob Dylan
400,Terry Moore
401,Robert Crais
402,John Mahoney
403,Carrie Vaughn
404,O. Henry
405,Mort Castle
406,Rod Lott
407,Rick Geary
408,Esao Andrews
409,Shary Flenniken
410,Colin Wilson
411,Mike Carey
412,Richard Corben
413,Mikal Gilmore
414,Bob Davis
415,James Fenimore Cooper
416,Michael Thompson
417,William Gibson
418,Bruce Alan Jensen
419,Martin Millar
420,Gertrude Stein
421,Brian Froud
422,Dean Koontz
423,Dan Taylor
424,Renee French
425,H.P. Lovecraft
426,James Chambers
427,C.J. Henderson
428,Matt Forbeck
429,Mark Acres
430,David Brawn
431,Russell W. Dalton
432,Laurell K. Hamilton
433,Mark Nelson
434,Poppy Z. Brite
435,Terry Brooks
436,Mike Friedrich
437,Mel White
438,Andy Kubert
439,Richard Bennett
440,Alan Fletcher
441,John Milton
442,Jill Thompson
443,Phil Noto
444,Michael Avon Oeming
445,Matt Wagner
446,Terry LaBan
447,Bernie Mireault
448,Pat McEown
449,Rich Rankin
450,Alex Simmons
451,Bill Ayers
452,Colson Whitehead
453,Richard A. Lupoff
454,Avi
455,Michael E. Doyle
456,Hideyuki Kikuchi
457,Joel Goss
458,Paul D. Storrie
459,John Robbins
460,Marv Wolfman
461,Matt Kindt
462,Roy Thomas
463,Stuart Moore
464,Mike Mignola
465,Roger Petersen
466,Dean Haspiel
467,Joe Staton
468,Michael Zulli
469,Henry David Thoreau
470,Pat Olliffe
471,Len Wein
472,Kelley Jones
